Vehicle_ID,Engine_Temperature,Vibration,Battery_Voltage,Engine_Load,RPM,Oil_Quality_Index,Mileage_km,Vehicle_Age_Years,Failure_Status
V1033,76.54,3.341,12.45,23.8,2420.0,81.6,53658.0,0.62,0
V1034,,5.36,11.1,93.4,2512.0,64.4,49863.0,0.36,1
V1035,92.01,3.082,12.03,57.0,3193.0,77.1,32848.0,4.09,1
V1036,86.67,3.667,12.78,67.9,3681.0,100.0,39614.0,3.5,0
V1037,69.32,1.324,14.16,89.0,2818.0,88.2,72113.0,7.7,0
V1038,74.37,3.033,13.62,46.9,2330.0,65.2,38148.0,0.13,0
V1039,86.57,0.455,13.27,47.7,2519.0,64.4,26915.0,8.11,0
V1040,100.74,9.267,11.41,57.4,2417.0,75.3,48823.0,8.73,1
V1041,156.36,4.266,11.56,11.7,3376.0,76.3,1627.0,2.36,1
V1042,84.07,0.562,13.66,54.7,2269.0,77.0,5203.0,0.32,0
V1043,82.59,4.868,13.55,36.2,1993.0,52.7,6031.0,11.73,0
V1044,86.66,8.91,11.46,93.5,2474.0,100.0,24962.0,0.3,1
V1045,79.24,2.538,12.82,17.9,3244.0,100.0,92429.0,3.57,0
V1046,94.37,5.517,11.05,51.3,1716.0,82.2,46388.0,2.72,1
V1047,108.11,4.507,10.31,95.3,1864.0,61.9,161905.0,7.21,1
V1048,100.0,3.077,12.08,91.1,1836.0,65.6,1834.0,2.79,1
V1049,70.9,1.938,12.09,73.1,1601.0,60.9,57607.0,2.53,0
V1050,105.58,5.362,10.64,63.0,1724.0,59.5,16973.0,8.5,1
V1051,,0.931,12.75,35.3,2670.0,65.5,1060.0,13.3,0
V1052,79.58,0.7,13.13,43.0,2310.0,81.3,78673.0,3.19,0
V1053,89.89,2.139,13.7,18.1,1553.0,76.9,7990.0,2.43,0
V1054,93.25,2.383,13.81,80.7,2543.0,97.9,10840.0,7.11,0
V1055,101.51,4.173,11.82,39.1,2373.0,52.2,18730.0,7.11,1
V1056,78.29,1.221,12.54,70.1,2676.0,61.8,69878.0,1.54,0
V1057,82.53,2.379,12.99,42.2,1898.0,45.0,44088.0,3.43,0
V1058,87.65,0.909,12.48,51.8,1586.0,77.2,13846.0,0.67,0
V1059,105.31,6.915,10.58,60.0,2540.0,99.0,8303.0,4.04,1
V1060,81.17,2.947,13.29,82.2,2613.0,67.9,5221.0,7.18,0
V1061,83.51,1.072,12.42,29.0,1648.0,95.5,7304.0,0.83,0
V1062,88.53,5.824,11.44,45.9,2319.0,85.4,91172.0,1.56,1
V1063,75.43,0.93,12.36,21.7,1892.0,88.0,115193.0,2.38,0
V1064,98.66,6.143,11.43,16.8,2686.0,83.8,154832.0,7.46,1
V1065,95.85,0.963,12.78,64.4,2531.0,100.0,81008.0,5.26,0
V1066,84.42,1.828,11.67,27.0,2809.0,72.0,98272.0,1.52,0
V1067,93.03,2.238,13.98,15.4,1779.0,85.3,76202.0,1.11,0
V1068,101.86,6.67,13.18,90.7,1855.0,100.0,142714.0,4.76,1
V1069,79.84,1.021,11.79,58.1,2015.0,59.7,84084.0,2.61,0
V1070,87.89,0.983,13.44,22.1,1935.0,71.8,27896.0,3.6,0
V1071,112.03,0.453,13.04,14.8,2384.0,83.6,17571.0,4.18,1
V1072,84.71,6.516,12.89,20.8,1661.0,62.1,39491.0,3.27,0
V1073,107.69,3.29,11.09,52.4,2961.0,61.5,42163.0,3.8,1
V1074,77.47,7.416,11.71,70.2,3072.0,100.0,38496.0,8.74,1
V1075,91.58,1.239,13.31,67.7,2755.0,62.8,55199.0,8.11,0
V1076,85.7,1.34,13.62,23.0,2450.0,69.5,54026.0,0.65,0
V1077,82.61,1.93,12.29,67.0,2138.0,78.2,4105.0,3.53,0
V1078,85.73,1.974,12.58,46.4,2294.0,81.4,15129.0,2.31,0
V1079,69.1,3.256,13.06,51.8,1822.0,66.8,99270.0,1.34,0
V1080,83.24,2.1,13.19,82.1,2279.0,71.9,40126.0,3.99,0
V1081,87.86,,13.24,39.9,2368.0,60.0,17923.0,2.86,0
V1082,108.21,9.576,10.97,23.2,1787.0,66.7,85508.0,5.96,1
V1083,80.85,0.92,12.47,88.6,3011.0,85.4,12888.0,0.39,0
V1084,78.53,1.026,13.59,29.1,2158.0,88.6,23682.0,1.44,0
V1085,80.99,0.932,12.27,36.5,1686.0,90.3,14549.0,0.1,0
V1086,106.51,6.95,11.06,73.6,2097.0,74.9,92280.0,5.48,1
V1087,97.47,4.512,11.41,71.5,1899.0,72.0,58636.0,9.74,1
V1088,80.76,1.764,13.29,82.0,1780.0,55.4,27747.0,3.54,0
V1089,89.11,0.888,12.82,26.5,2986.0,69.7,121171.0,3.84,0
V1090,85.78,2.231,13.45,41.7,2205.0,77.6,118053.0,0.19,0
V1091,92.75,3.677,13.75,21.3,2715.0,91.3,55942.0,2.8,0
V1092,100.8,8.259,10.49,58.7,2406.0,46.0,100150.0,2.99,1
V1093,82.38,1.194,13.23,36.3,2438.0,69.9,57186.0,0.16,0
V1094,94.24,,11.83,72.0,2193.0,,44524.0,6.1,1
V1095,73.29,2.759,12.8,10.0,1984.0,50.9,24574.0,1.3,0
V1096,93.78,3.572,9.9,15.4,2850.0,94.8,14376.0,5.14,1
V1097,87.09,0.573,13.21,48.9,2527.0,55.5,2797.0,2.06,0
V1098,85.04,1.766,13.28,96.2,2110.0,76.6,72621.0,20.0,0
V1099,83.12,0.65,13.65,90.2,2697.0,90.4,5863.0,0.95,0
V1100,95.22,5.634,11.28,99.5,2955.0,68.0,23770.0,0.24,1
V1101,81.63,1.563,12.6,47.5,2383.0,56.6,12033.0,15.63,0
V1102,82.26,1.907,12.45,14.2,2976.0,76.8,27283.0,1.12,0
V1103,78.58,1.05,11.2,37.5,1961.0,98.4,17024.0,4.04,0
V1104,100.85,5.911,10.38,70.8,1750.0,89.9,79657.0,1.88,1
V1105,88.23,4.707,14.66,22.2,2029.0,71.3,172119.0,4.08,0
V1106,115.93,6.538,12.17,37.0,2221.0,66.6,127785.0,3.63,1
V1107,103.39,3.467,10.23,15.1,2978.0,92.3,43823.0,4.91,1
V1108,87.06,0.1,12.69,52.7,2010.0,53.1,174442.0,0.1,0
V1109,84.4,1.777,12.69,28.8,2392.0,89.1,23041.0,7.24,0
V1110,69.65,1.572,13.84,18.2,2750.0,67.0,33262.0,2.61,0
V1111,94.7,5.662,13.73,47.0,2434.0,52.7,13359.0,2.93,1
V1112,85.48,1.261,13.05,41.6,1953.0,48.5,102718.0,2.12,0
V1113,115.25,3.208,12.65,58.4,1561.0,99.5,8914.0,18.18,1
V1114,96.59,12.302,11.66,77.4,2809.0,72.0,42429.0,6.47,1
V1115,100.12,8.323,10.87,20.1,1674.0,61.6,72302.0,1.49,1
V1116,,1.443,13.17,81.2,2011.0,74.3,40718.0,6.11,0
V1117,75.65,2.207,13.03,12.4,2217.0,66.4,3692.0,2.3,0
V1118,,3.944,13.29,49.9,2832.0,66.9,42540.0,8.16,0
V1119,91.02,2.201,11.8,62.9,2699.0,67.6,65568.0,0.13,0
V1120,91.33,1.349,12.71,96.1,2274.0,75.1,9362.0,1.76,0
V1121,77.72,0.583,12.29,61.7,2806.0,86.4,60094.0,2.25,0
V1122,111.94,2.745,11.65,24.3,2916.0,52.1,94882.0,5.45,1
V1123,73.79,0.66,12.53,56.6,1962.0,95.3,193590.0,0.81,0
V1124,89.69,4.493,12.06,45.6,2003.0,60.8,23748.0,1.35,0
V1125,102.52,1.95,11.93,53.1,2575.0,78.8,1147.0,5.15,0
V1126,77.08,2.92,13.27,27.7,3048.0,74.1,24441.0,0.32,0
V1127,96.25,4.483,11.38,55.1,1853.0,62.9,48577.0,0.9,1
V1128,85.8,3.58,12.92,23.5,1279.0,92.0,99889.0,5.6,0
V1129,80.97,1.172,13.95,77.0,2525.0,63.1,125205.0,8.33,0
V1130,72.59,2.486,13.23,63.5,2882.0,96.3,108146.0,5.22,0
V1131,85.55,1.488,12.69,17.1,2265.0,85.0,48277.0,3.0,0
V1132,76.5,1.676,12.29,90.1,3517.0,63.8,51631.0,0.42,0
V1133,88.79,3.909,13.26,65.5,1781.0,57.0,500.0,7.02,0
V1134,77.64,1.043,12.92,38.4,1829.0,91.0,20346.0,0.53,0
V1135,109.34,6.12,12.31,14.1,1822.0,57.9,106813.0,1.95,1
V1136,78.73,4.856,11.57,66.9,2244.0,73.0,52648.0,0.21,0
V1137,82.42,3.812,13.68,43.6,2255.0,85.5,28393.0,4.95,0
V1138,104.34,3.116,10.75,91.7,1815.0,82.0,4954.0,2.8,1
V1139,75.15,2.875,12.71,13.1,2762.0,72.0,12725.0,9.53,0
V1140,86.82,0.356,13.83,13.5,2334.0,64.1,36428.0,0.6,0
V1141,113.85,7.447,10.12,95.4,1683.0,85.8,102506.0,6.84,1
V1142,72.14,9.502,12.95,96.8,2507.0,46.8,4532.0,2.86,0
V1143,86.48,2.505,12.84,12.5,1990.0,78.9,7513.0,1.82,0
V1144,103.79,7.319,10.93,74.4,2251.0,55.5,47890.0,4.13,1
V1145,91.25,0.556,13.21,29.9,2644.0,61.8,15676.0,6.25,0
V1146,75.1,0.813,13.01,73.1,2700.0,80.5,8369.0,2.32,0
V1147,74.44,1.529,12.2,88.2,2658.0,63.8,8845.0,1.06,0
V1148,89.18,1.765,13.06,19.1,2225.0,92.4,30532.0,9.9,0
V1149,87.38,2.517,12.99,31.5,1713.0,85.6,39440.0,1.5,0
V1150,103.4,2.549,11.77,12.2,2041.0,64.5,105617.0,20.0,1
V1151,101.1,2.996,12.83,13.9,2212.0,71.6,33959.0,5.83,1
V1152,79.56,3.904,13.8,12.7,2973.0,58.4,52888.0,4.66,0
V1153,97.04,6.294,13.05,82.1,1937.0,82.1,8968.0,0.1,1
V1154,87.34,1.49,13.21,36.8,2301.0,98.5,56245.0,2.38,0
V1155,79.29,3.383,14.07,54.4,1584.0,57.1,47074.0,2.79,0
V1156,111.68,,10.5,80.9,2370.0,77.8,10961.0,1.89,1
V1157,88.79,2.134,12.78,54.5,2177.0,79.9,49805.0,0.65,0
V1158,75.47,3.767,12.65,48.6,2135.0,56.2,10693.0,1.83,0
V1159,98.81,3.789,10.96,11.0,2623.0,59.9,40516.0,0.31,1
V1160,77.2,0.651,13.02,61.1,1857.0,47.9,49733.0,1.38,0
V1161,91.3,2.089,13.12,21.2,2900.0,83.4,53192.0,0.35,0
V1162,94.27,3.79,13.26,78.8,1820.0,69.6,107992.0,5.58,0
V1163,78.43,4.03,14.05,33.2,2883.0,64.1,132902.0,4.45,0
V1164,106.17,0.654,9.86,70.7,1402.0,100.0,74780.0,11.25,1
V1165,105.73,5.2,11.51,68.2,2353.0,48.0,94945.0,1.91,1
V1166,91.58,1.649,11.53,65.5,2505.0,94.3,878.0,6.17,0
V1167,110.84,5.879,10.97,34.0,2020.0,42.7,20271.0,3.54,1
V1168,83.04,0.664,12.73,34.0,2339.0,67.2,1824.0,4.16,0
V1169,78.97,3.247,12.58,87.7,2018.0,49.5,11461.0,3.17,0
V1170,85.21,2.185,10.51,11.2,2424.0,62.7,21637.0,6.04,1
V1171,78.47,1.223,13.05,26.3,2325.0,66.9,90978.0,0.17,0
V1172,88.93,6.774,11.51,64.9,3308.0,64.4,32262.0,0.34,1
V1173,98.75,4.819,11.43,83.5,1511.0,78.8,47096.0,0.4,1
V1174,87.21,0.246,13.09,42.3,2300.0,88.2,20281.0,1.36,0
V1175,97.91,6.174,10.81,68.8,1990.0,73.3,41562.0,3.58,1
V1176,97.24,5.042,11.55,60.1,2262.0,79.9,76064.0,4.15,1
V1177,96.63,2.045,12.9,15.8,2132.0,98.4,16130.0,4.99,0
V1178,82.88,0.629,12.79,66.0,2026.0,64.5,121141.0,1.32,0
V1179,119.91,6.651,12.02,83.3,1938.0,88.6,10797.0,4.2,1
V1180,103.49,10.904,10.35,99.3,2557.0,100.0,113266.0,0.5,1
V1181,78.14,1.287,13.73,12.7,2013.0,100.0,1292.0,0.1,0
V1182,76.43,4.584,13.47,69.4,2189.0,99.4,35214.0,4.75,0
V1183,105.71,4.446,10.29,47.3,2293.0,85.9,189508.0,5.03,1
V1184,83.21,1.331,12.32,10.9,1838.0,92.3,42347.0,3.89,0
V1185,90.71,0.513,12.39,65.3,2505.0,67.7,36422.0,1.2,0
V1186,88.79,5.025,12.15,21.0,1721.0,73.8,51623.0,10.49,0
V1187,84.42,2.177,11.98,44.1,2447.0,72.0,15368.0,8.34,0
V1188,78.23,1.389,12.13,33.5,2401.0,65.0,2494.0,2.9,0
V1189,72.88,1.585,11.41,42.5,2133.0,77.2,13010.0,18.09,0
V1190,81.43,3.273,12.78,54.3,1653.0,67.1,8725.0,1.42,0
V1191,98.73,,12.37,42.3,2203.0,75.9,115712.0,2.7,1
V1192,86.71,0.881,13.77,59.7,1684.0,54.3,86054.0,10.52,0
V1193,75.03,1.829,13.59,31.5,2144.0,67.0,17204.0,2.48,0
V1194,98.72,4.202,10.58,67.2,2594.0,94.7,81374.0,2.55,1
V1195,88.08,1.755,12.85,86.8,2192.0,77.9,10707.0,0.33,0
V1196,77.93,1.402,13.66,30.2,2827.0,95.0,10018.0,0.95,0
V1197,97.36,6.979,11.22,55.7,2348.0,65.9,65656.0,0.69,1
V1198,,13.648,11.79,68.4,2587.0,71.3,17816.0,3.33,1
V1199,84.16,2.83,11.09,60.8,2558.0,78.2,3014.0,1.53,1
V1200,107.66,0.936,11.52,42.9,2904.0,72.1,57281.0,0.32,1
V1201,89.49,1.657,13.05,67.8,1547.0,54.1,205474.0,2.85,0
V1202,93.66,0.233,12.79,12.5,1939.0,83.5,37560.0,4.43,0
V1203,93.43,0.46,13.64,43.3,2214.0,60.2,13773.0,5.34,0
V1204,73.98,1.306,12.48,57.9,2600.0,74.8,21000.0,7.27,0
V1205,77.5,3.256,13.07,11.9,2284.0,43.0,47069.0,2.63,0
V1206,89.12,1.642,14.07,55.7,2197.0,65.3,54386.0,1.98,0
V1207,89.11,0.134,13.19,68.9,2715.0,73.1,97851.0,4.61,0
V1208,101.88,4.972,11.14,78.3,2031.0,83.4,107779.0,0.1,1
V1209,126.44,4.767,11.31,20.2,2008.0,56.5,88888.0,4.02,1
V1210,89.57,1.746,14.46,99.2,2460.0,61.6,47048.0,2.08,0
V1211,94.08,4.23,13.02,64.6,3397.0,100.0,26891.0,2.41,0
V1212,98.41,8.716,12.34,42.7,2190.0,100.0,51177.0,1.41,1
V1213,90.21,2.114,13.0,32.4,1877.0,82.7,49424.0,0.54,0
V1214,95.01,10.662,11.5,61.6,1917.0,94.2,11065.0,2.05,1
V1215,91.07,1.303,12.95,89.4,2017.0,,31877.0,1.47,0
V1216,78.82,1.81,12.39,56.9,2863.0,84.8,10506.0,12.89,0
V1217,83.11,1.962,13.22,69.5,2017.0,84.0,103224.0,11.5,0
V1218,81.12,0.507,12.27,42.2,2352.0,60.9,17570.0,4.13,0
V1219,85.65,1.994,12.81,44.9,2154.0,77.9,73662.0,9.36,0
V1220,103.52,0.41,14.15,35.8,1543.0,70.6,21311.0,5.57,0
V1221,70.06,1.137,12.96,73.5,2036.0,80.5,64926.0,1.7,0
V1222,90.49,2.187,12.45,42.3,963.0,67.0,11233.0,3.7,0
V1223,72.1,0.596,13.14,27.2,2288.0,53.2,64928.0,1.0,0
V1224,81.22,2.556,12.67,43.2,2445.0,75.3,8905.0,4.65,0
V1225,113.69,3.439,11.85,86.8,1777.0,87.5,30373.0,0.18,1
V1226,85.51,,12.29,76.4,1929.0,87.5,5428.0,7.12,0
V1227,91.72,7.33,11.91,40.1,1530.0,48.4,33775.0,3.5,1
V1228,79.28,1.875,13.07,91.6,1092.0,77.7,77345.0,0.24,0
V1229,102.68,3.97,11.59,16.7,1447.0,85.3,63393.0,8.22,1
V1230,79.16,2.761,13.22,14.5,2526.0,77.1,2342.0,8.41,0
V1231,86.73,1.852,14.16,21.5,2043.0,88.0,30493.0,7.66,0
V1232,97.35,3.939,11.0,20.5,2305.0,53.8,86043.0,5.95,1
V1233,79.79,1.121,13.45,17.9,3220.0,57.8,47255.0,4.53,0
V1234,107.6,5.979,11.55,69.5,2699.0,83.8,2746.0,2.02,1
V1235,90.07,1.666,13.24,64.1,2470.0,69.8,17729.0,0.59,0
V1236,68.8,4.773,13.54,68.3,1958.0,92.6,36596.0,1.36,0
V1237,86.49,2.221,12.83,72.0,2980.0,79.6,8529.0,1.71,0
V1238,79.71,1.263,13.09,78.1,2818.0,,51545.0,1.77,0
V1239,91.82,2.898,,28.6,2647.0,60.8,45335.0,3.33,0
V1240,78.66,4.913,12.49,66.0,2198.0,46.8,10179.0,0.93,0
V1241,84.08,1.361,13.28,62.2,1738.0,85.3,35973.0,0.84,0
V1242,89.04,1.176,12.78,94.9,2959.0,73.2,75142.0,5.05,0
V1243,91.93,0.1,14.1,30.9,2635.0,88.7,21138.0,0.1,0
V1244,75.4,2.217,12.7,15.3,2098.0,78.9,12765.0,0.65,0
V1245,82.32,1.536,12.21,68.8,2062.0,76.7,54362.0,2.28,0
V1246,81.2,2.889,13.67,76.6,1589.0,87.2,3305.0,0.65,0
V1247,79.77,2.934,12.55,35.5,2580.0,73.5,80451.0,12.86,0
V1248,99.12,0.531,12.27,61.4,2285.0,70.0,129275.0,4.44,0
V1249,88.24,3.747,13.23,15.4,2399.0,75.0,150585.0,2.27,0
V1250,74.91,1.033,13.8,96.4,2665.0,87.6,25496.0,0.48,0
V1251,100.23,4.08,12.08,19.9,2561.0,60.9,43922.0,1.95,1
V1252,109.2,3.785,10.31,16.1,1763.0,88.9,87636.0,4.21,1
V1253,93.26,0.735,13.08,14.0,2211.0,76.0,11379.0,13.87,0
V1254,83.59,4.684,11.6,48.5,2406.0,69.2,1264.0,2.56,1
V1255,81.13,0.671,14.0,18.7,2444.0,77.7,21844.0,4.72,0
V1256,112.27,5.775,10.75,77.0,1405.0,92.6,97082.0,0.87,1
V1257,79.34,1.466,13.06,90.9,1697.0,92.5,31650.0,3.91,0
V1258,88.55,0.608,13.1,33.4,2529.0,80.9,33997.0,1.09,0
V1259,91.2,0.652,12.3,66.6,2521.0,84.4,52918.0,0.88,0
V1260,77.58,3.534,12.88,13.8,3005.0,75.6,38454.0,2.85,0
V1261,87.49,2.45,11.29,44.8,1425.0,66.2,2521.0,0.95,1
V1262,65.74,1.749,12.21,36.4,2649.0,81.7,37032.0,5.11,1
V1263,76.8,2.059,13.12,30.6,2388.0,68.3,46980.0,11.08,0
V1264,82.98,1.551,12.77,68.0,1675.0,59.6,46174.0,2.0,0
V1265,75.02,0.294,12.91,21.7,1316.0,68.7,58645.0,1.56,0
V1266,98.06,3.114,12.96,87.5,2670.0,50.4,33021.0,0.77,0
V1267,73.56,1.645,12.98,69.8,1708.0,56.4,103643.0,1.98,0
V1268,94.59,5.584,12.24,74.0,1543.0,100.0,28085.0,3.28,1
V1269,86.05,3.278,13.59,94.2,2427.0,91.9,32859.0,1.87,0
V1270,114.59,1.096,10.15,94.8,2195.0,71.4,68198.0,3.9,1
V1271,,3.299,13.64,59.6,2487.0,82.8,80603.0,4.34,0
V1272,106.29,9.709,12.36,54.6,2415.0,60.7,47032.0,0.41,1
V1273,85.08,2.69,12.97,40.2,3873.0,84.9,6080.0,4.79,0
V1274,88.6,8.183,11.45,74.4,2562.0,78.9,18153.0,9.22,1
V1275,102.97,8.774,12.26,58.4,2530.0,64.4,916.0,0.11,1
V1276,86.59,3.214,12.79,94.0,1759.0,70.2,15759.0,3.21,0
V1277,80.2,3.977,13.33,31.5,2981.0,69.1,38004.0,3.7,0
V1278,85.56,4.447,13.39,37.9,1947.0,87.8,73617.0,4.95,0
V1279,94.1,108.49499999999999,12.48,38.4,1745.0,73.8,39647.0,1.95,1
V1280,97.44,5.366,11.19,82.5,2094.0,51.3,1832.0,6.83,1
V1281,90.3,4.146,14.28,18.9,2420.0,68.3,13495.0,3.11,0
V1282,97.69,1.626,13.54,51.0,1969.0,63.3,38830.0,2.1,0
V1283,86.35,6.123,11.9,48.5,1762.0,52.8,55557.0,5.08,1
V1284,102.06,2.862,14.15,16.6,1751.0,63.6,90599.0,10.49,0
V1285,,2.679,12.35,47.0,2303.0,42.6,154395.0,6.69,1
V1286,98.71,8.055,12.26,56.2,2480.0,61.0,100064.0,10.68,1
V1287,89.71,1.037,13.1,15.9,2521.0,77.9,28343.0,1.24,0
V1288,87.25,1.562,13.5,55.9,1422.0,81.8,61834.0,0.5,0
V1289,99.27,8.375,12.45,96.3,1785.0,82.6,12381.0,3.06,1
V1290,83.34,2.232,13.64,98.1,2666.0,89.4,2968.0,0.18,0
V1291,81.06,1.508,12.09,57.9,1988.0,92.8,2549.0,4.49,0
V1292,80.29,1.886,12.75,56.4,2301.0,59.6,12427.0,1.1,0
V1293,107.04,3.483,12.08,35.7,3513.0,54.4,1722.0,2.42,1
V1294,87.86,3.529,13.3,99.7,1073.0,75.6,85452.0,4.26,0
V1295,95.73,5.501,12.1,34.7,2135.0,83.2,30294.0,2.64,1
V1296,103.7,4.469,11.26,50.8,2554.0,62.5,74947.0,1.08,1
V1297,87.46,3.038,12.34,10.3,1709.0,79.0,126527.0,8.49,0
V1298,91.5,2.801,13.47,41.4,2133.0,100.0,229534.0,5.78,0
V1299,90.04,1.115,13.22,16.4,1600.0,55.0,124525.0,3.68,0
V1300,78.37,3.559,13.05,76.9,2489.0,75.1,56733.0,4.8,0
V1301,80.52,1.302,12.89,60.5,1864.0,90.6,26251.0,2.15,0
V1302,90.98,0.797,13.14,61.5,1985.0,72.0,41007.0,1.89,0
V1303,107.77,3.289,10.95,35.8,2648.0,81.2,76298.0,0.7,1
V1304,84.83,1.737,12.81,83.3,2478.0,88.7,102529.0,6.51,0
V1305,98.19,3.953,12.56,10.3,2687.0,70.5,141042.0,1.92,1
V1306,112.37,4.276,10.44,40.0,3079.0,59.1,59021.0,4.71,1
V1307,87.04,,10.22,69.4,2237.0,73.5,34939.0,1.43,1
V1308,99.93,5.979,11.95,91.7,3258.0,58.6,155417.0,6.36,1
V1309,99.42,1.995,11.01,31.1,2297.0,66.7,143328.0,0.44,1
V1310,83.26,0.519,11.8,58.7,2859.0,81.6,29215.0,3.92,0
V1311,93.79,1.837,13.61,58.4,2186.0,77.7,47070.0,6.59,0
V1312,91.6,,13.76,88.7,2620.0,90.0,74560.0,4.32,0
V1313,91.51,1.567,12.22,14.5,1987.0,78.5,25539.0,4.76,0
V1314,112.97,7.934,9.7,48.2,2870.0,63.3,79574.0,2.99,1
V1315,85.17,1.966,12.27,26.4,2776.0,60.0,5318.0,3.28,0
V1316,101.89,5.255,10.35,11.9,2093.0,84.4,29526.0,0.27,1
V1317,82.52,2.358,14.15,23.2,2278.0,78.6,29653.0,1.16,0
V1318,105.51,9.015,10.14,97.9,1728.0,,51934.0,5.12,1
V1319,83.96,7.496,13.5,29.3,2665.0,80.1,5569.0,11.63,0
V1320,96.77,4.305,12.52,94.2,2620.0,64.4,4902.0,3.12,1
V1321,89.76,2.256,13.79,28.5,1584.0,38.3,103885.0,5.17,0
V1322,78.45,4.379,12.62,93.8,3286.0,90.6,16292.0,4.6,0
V1323,114.57,2.941,11.46,68.9,2399.0,84.7,17815.0,20.0,1
V1324,76.95,0.31,12.87,20.2,2084.0,73.7,67498.0,6.34,0
V1325,75.29,1.586,13.32,62.4,2799.0,61.5,24119.0,3.95,0
V1326,94.26,2.404,13.73,38.7,1939.0,71.8,80519.0,0.49,0
V1327,91.33,5.626,14.31,44.5,2853.0,49.1,23097.0,1.8,0
V1328,89.99,2.165,12.77,49.6,1612.0,76.7,64333.0,1.15,0
V1329,90.03,0.923,13.08,48.0,2089.0,46.0,33529.0,7.69,0
V1330,84.9,2.447,13.52,69.8,2156.0,76.6,123579.0,2.36,0
V1331,90.96,7.724,11.72,79.2,1928.0,64.4,17846.0,3.07,1
V1332,85.61,1.183,14.03,39.6,1832.0,72.8,20273.0,13.39,0
V1333,90.53,3.714,10.56,93.2,1957.0,57.9,157775.0,7.25,1
V1334,92.8,1.198,12.76,94.5,1934.0,97.6,60192.0,6.24,0
V1335,83.82,0.594,13.83,13.7,1965.0,80.4,66641.0,0.61,0
V1336,78.4,2.092,13.18,11.3,2917.0,64.7,15792.0,0.1,0
V1337,93.64,3.44,11.83,48.3,2417.0,72.3,34172.0,0.54,1
V1338,100.7,3.555,11.63,63.2,2156.0,99.1,16929.0,5.39,1
V1339,80.49,0.99,13.56,35.0,2582.0,60.8,13542.0,2.12,0
V1340,78.42,2.305,12.48,33.3,2152.0,58.3,34481.0,0.5,0
V1341,100.89,4.889,10.82,71.1,1803.0,57.7,198139.0,5.37,1
V1342,,3.892,11.41,64.2,1397.0,64.8,10872.0,0.87,0
V1343,80.94,3.44,12.62,25.0,2694.0,97.4,12499.0,3.56,0
V1344,81.23,1.997,13.56,89.6,1087.0,66.6,12535.0,5.41,0
V1345,86.86,,13.03,71.2,1446.0,68.7,70595.0,3.75,0
V1346,83.71,4.292,9.71,42.6,2452.0,78.0,32145.0,20.0,1
